z,M,n,lower,upper,d,dist_indices,year
2.0420577856662137,24.75,0.44596034418691644,1.9842169515864172,0,0.4104690591078072,1,2014
2.4124676163629637,42.5,1.2819172582529825,1.9740167076309671,0,0.37005563969569255,1,2014
1,12,-0.6733089842442926,2.010634757624232,0,0.2886751345948129,5,2013
2.029778313018444,22.25,0.2813235269901405,1.986978699506281,0,0.4303121417364873,1,2013
1.1224972160321824,15,-0.32830106444764096,2.0002978220142595,0,0.28982753492378877,5,2013
2.029778313018444,23.75,0.3821935570837762,1.9852510035054978,0,0.41650172173776945,1,2013
4.031128874149275,33.75,0.9254987668685202,1.9776922772392431,0,0.693888666488711,1,2013
2.924038303442689,42.25,1.2727955478271522,1.9741004473989738,0,0.44985204668349066,1,2013
2.9171904291629644,39.75,1.1784903804912323,1.9749962127674718,0,0.46269649913789646,1,2013
2.835489375751565,65,1.938839970306186,1.969130003360173,0,0.35169917215186575,1,2013
2.6267851073127395,23,0.33258099786800477,1.98608631695113,0,0.5477225575051662,1,2014
2.8231188426986207,42.25,1.2727955478271522,1.9741004473989738,0,0.4343259757997878,1,2014
2.64990565869806,3.75,-2.471686033177166,2.131449545559775,0,1.3684053980211175,1,2003
1,3.75,-2.471686033177166,2.131449545559775,0,0.5163977794943222,5,2003
3.2031234756093934,3.75,-2.471686033177166,2.131449545559775,0,1.6540858502508267,1,2003
1.6492422502470643,3.75,-2.471686033177166,2.131449545559775,0,0.8516650358758033,5,2003
1.9621416870348585,27.5,0.6088609170321719,1.9817652821323721,0,0.37416573867739417,5,2014
2.06881608655772,20,0.11649150425904144,1.990063421254446,0,0.4626013402488151,1,2004
2.1540659228538015,23.25,0.34929603020590816,1.9858018143458231,0,0.4467324618528614,1,2004
2.3515952032609695,31.5,0.8188271335978204,1.9789706019906144,0,0.41899350299921784,1,2004
2.6286878856189833,12.25,-0.6414289798990699,2.0095752371292397,0,0.7510536816054237,1,2003
2.2825424421026654,15.25,-0.30274469031855855,1.9996235849949389,0,0.5844992252024763,1,2003
2.567099530598687,17.75,-0.06803355300917058,1.9939433678456253,0,0.6093173275345144,1,2003
1.7349351572897471,37,1.067645666596602,1.9761224936137383,0,0.2852215828988952,5,2013
4.18568990729127,10.75,-0.8433841659385457,2.016692199227824,0,1.2766234534350624,1,2013
2.8722813232690143,22.5,0.29859885121043966,1.9866745407037678,0,0.6055300708194983,1,2013
2.981610303175115,10,-0.9552009801057209,2.0210753903062733,0,0.9428679653058535,1,2013
1.8466185312619388,30,0.743391419917122,1.9799304050824222,0,0.3371448748930742,5,2014
2.092844953645635,15.75,-0.25286535076694255,1.9983405425207414,0,0.527347359996462,1,2014
4.868264577855234,29.5,0.7174055068402718,1.9802722492729548,0,0.896320160717405,1,2014
2.582634314028992,11,-0.807839487129244,2.0153675744437636,0,0.7786935445755515,1,2004
3.8314488121336034,19,0.03718563728712385,1.9916726096446642,0,0.8789946410231226,1,2003
2.0591260281974,36.5,1.0466096219267231,1.9763456545938065,0,0.34082896526211476,1,2003
2.7092434368288134,16.25,-0.20454499842333995,1.9971379083920036,0,0.6720805812492336,1,2003
2.0445048300260873,18.75,0.016706855349011448,1.9921021540022417,0,0.4721581655900206,1,2014
2.9274562336608896,18.25,-0.025082862438039793,1.992997125889855,0,0.6852656719082684,1,2004
2.202271554554524,5.75,-1.8108039708615211,2.068657610419048,0,0.9184107255849996,1,2004
2.177154105707724,37.25,1.0780573250157959,1.976013177689186,0,0.3567188278569706,1,2014
2.3086792761230392,37.5,1.0883993397137743,1.9759053308966146,0,0.3770057470826318,1,2014
2.5495097567963922,32.5,0.867147485941423,1.97838040544701,0,0.44721359549995793,1,2014
2.5278449319529077,70.5,2.0644246887406412,1.9684119005009906,0,0.30106195022343896,1,2014
2.619160170741759,47.25,1.445727049255901,1.972595079099666,0,0.38103173776627214,1,2014
3.1080540535840107,48.5,1.4860981530730013,1.9722675325821337,0,0.44629055303911463,1,2014
2.137755832643195,8.75,-1.1616572622864507,2.0301079282503425,0,0.7226933750116395,1,2003
2.0760539492026693,15.75,-0.25286535076694255,1.9983405425207414,0,0.5231164245660745,1,2003
2.723967694375247,41,1.2263618649459083,1.9745345758584718,0,0.4254122820936151,1,2004
2.0542638584174138,27.5,0.6088609170321719,1.9817652821323721,0,0.39173274748806164,1,2004
2.5199206336708304,36,1.0252834157785502,1.9765750658304366,0,0.41998677227847175,1,2014
1.8788294228055935,38.75,1.139096518709243,1.9753871310551108,0,0.30182242162163564,5,2014
2.2737634001804143,34.25,0.9482363153625721,1.9774312123081657,0,0.3885214345560474,1,2014
2.073644135332772,19.25,0.057396715054789785,1.9912543953883848,0,0.4726273620693403,1,2013
2.4617067250182343,39.25,1.1589189111522267,1.9751891630765868,0,0.3929311701285592,1,2013
1.5329709716755893,13,-0.5495529182199916,2.006646805061688,0,0.42516964939801477,5,2004
2.137755832643195,17.5,-0.08996477792168699,1.994437111771186,0,0.5110213861893229,1,2014
3.8288379438153295,44.75,1.3616778011383521,1.9733054338414713,0,0.5723615687335485,1,2014
2.1166010488516727,12.5,-0.6101930603090684,2.0085591121007607,0,0.5986651818838307,1,2014
